#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	GO:0140223.Annotations	GO:0140223.Evidence	GO:0003700.Annotations	GO:0003700.Evidence	GO:0003712.Annotations	GO:0003712.Evidence	GO:0043565.Annotations	GO:0043565.Evidence	GO:0006357.Annotations	GO:0006357.Evidence	GO:0000981.Annotations	GO:0000981.Evidence	DBD.present	Lovering_2021.present	ORFeome.present	Ravazi.present	Saeed.present	TFCat.present	animal_tfdb_homo_sapiens.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus.present	animal_tfdb_Rattus_norvegicus_cofactors.present	TcoF_human.present	tcof_cotf_human.present	TcoF_mouse.present	tcof_cotf_mouse.present	jaspar_human.present	jaspar_mouse.present	jaspar_rat.present	lambert_2018.present	Vaquerizas.present	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
DUXA	-	Double homeobox protein A	9606|10090|10090	503835|100504180|245263	A6NLW8|A0A0N4SUK1|Q3ULJ8	ENSG00000258873|ENSMUSG00000058537|ENSMUSG00000075045	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NLW8,UniProtKB:A0A0N4SUK1,UniProtKB:Q3ULJ8&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NLW8,UniProtKB:A0A0N4SUK1,UniProtKB:Q3ULJ8&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NLW8,UniProtKB:A0A0N4SUK1,UniProtKB:Q3ULJ8&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NLW8,UniProtKB:A0A0N4SUK1,UniProtKB:Q3ULJ8&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
E2F1	RBP3	Transcription factor E2F1 	9606|10090|10116	1869|13555|399489	Q01094|Q61501|O09139	ENSG00000101412|ENSMUSG00000027490|ENSRNOG00000016708	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q01094,UniProtKB:Q61501,UniProtKB:O09139&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q01094,UniProtKB:Q61501,UniProtKB:O09139&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q01094,UniProtKB:Q61501,UniProtKB:O09139&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q01094,UniProtKB:Q61501,UniProtKB:O09139&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F2	E2F-2	Transcription factor E2F2 	9606|10090|10116	1870|242705|684111	Q14209|P56931|M0RDX6	ENSG00000007968|ENSMUSG00000018983|ENSRNOG00000047741	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14209,UniProtKB:P56931,UniProtKB:M0RDX6&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14209,UniProtKB:P56931,UniProtKB:M0RDX6&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14209,UniProtKB:P56931,UniProtKB:M0RDX6&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q14209,UniProtKB:P56931,UniProtKB:M0RDX6&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F3	-	Transcription factor E2F3 	9606|10090|10116	1871|13557|291105	O00716|O35261|D4ADR2	ENSG00000112242|ENSMUSG00000016477|ENSRNOG00000029273	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O00716,UniProtKB:O35261,UniProtKB:D4ADR2&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O00716,UniProtKB:O35261,UniProtKB:D4ADR2&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O00716,UniProtKB:O35261,UniProtKB:D4ADR2&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O00716,UniProtKB:O35261,UniProtKB:D4ADR2&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F4	E2F-4	Transcription factor E2F4 	9606|10090|10116|10090|10116	1874|13559|116651|104394|100360427	Q16254|Q61502|Q62814|Q8R0K9|D4A9V4	ENSG00000205250|ENSMUSG00000027552|ENSRNOG00000010760|ENSMUSG00000014859|ENSRNOG00000015708	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q16254,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q16254,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q16254,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q16254,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	DBD	Lovering_2021	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F5	-	Transcription factor E2F5 	9606|10090|10116|10090|10116	1875|13559|116651|104394|100360427	Q15329|Q61502|Q62814|Q8R0K9|D4A9V4	ENSG00000133740|ENSMUSG00000027552|ENSRNOG00000010760|ENSMUSG00000014859|ENSRNOG00000015708	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15329,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15329,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15329,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15329,UniProtKB:Q61502,UniProtKB:Q62814,UniProtKB:Q8R0K9,UniProtKB:D4A9V4&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F6	E2F-6	Transcription factor E2F6 	9606|10090|10116	1876|50496|313978	O75461|O54917|Q80ZB0	ENSG00000169016|ENSMUSG00000057469|ENSRNOG00000004449	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O75461,UniProtKB:O54917,UniProtKB:Q80ZB0&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O75461,UniProtKB:O54917,UniProtKB:Q80ZB0&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O75461,UniProtKB:O54917,UniProtKB:Q80ZB0&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O75461,UniProtKB:O54917,UniProtKB:Q80ZB0&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F7	-	Transcription factor E2F7 	9606|10090|10116	144455|52679|314818	Q96AV8|Q6S7F2|D4A4D7	ENSG00000165891|ENSMUSG00000020185|ENSRNOG00000026252	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96AV8,UniProtKB:Q6S7F2,UniProtKB:D4A4D7&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96AV8,UniProtKB:Q6S7F2,UniProtKB:D4A4D7&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96AV8,UniProtKB:Q6S7F2,UniProtKB:D4A4D7&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q96AV8,UniProtKB:Q6S7F2,UniProtKB:D4A4D7&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	DBD	Lovering_2021	NA	NA	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F8	FLJ23311	Transcription factor E2F8 	9606|10090|10116	79733|108961|308607	A0AVK6|Q58FA4|F1LMN3	ENSG00000129173|ENSMUSG00000046179|ENSRNOG00000022537	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A0AVK6,UniProtKB:Q58FA4,UniProtKB:F1LMN3&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A0AVK6,UniProtKB:Q58FA4,UniProtKB:F1LMN3&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A0AVK6,UniProtKB:Q58FA4,UniProtKB:F1LMN3&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A0AVK6,UniProtKB:Q58FA4,UniProtKB:F1LMN3&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E4F1	E4F	Transcription factor E4F1 	9606|10090|10116	1877|13560|681359	Q66K89|Q8CCE9|F1MAM9	ENSG00000167967|ENSMUSG00000024137|ENSRNOG00000009224	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q66K89,UniProtKB:Q8CCE9,UniProtKB:F1MAM9&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q66K89,UniProtKB:Q8CCE9,UniProtKB:F1MAM9&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q66K89,UniProtKB:Q8CCE9,UniProtKB:F1MAM9&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q66K89,UniProtKB:Q8CCE9,UniProtKB:F1MAM9&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
EBF1	OLF1 COE1	Transcription factor COE1 	9606|10090|10116|10090|10116	1879|13593|361668|13591|116543	Q9UH73|O08791|D4A274|Q07802|Q63398	ENSG00000164330|ENSMUSG00000010476|ENSRNOG00000016102|ENSMUSG00000057098|ENSRNOG00000028845	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9UH73,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9UH73,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9UH73,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9UH73,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF2	FLJ11500 COE2	Transcription factor COE2 	9606|10090|10116	64641|13592|361060	Q9HAK2|O08792|D3ZT68	ENSG00000221818|ENSMUSG00000022053|ENSRNOG00000011548	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9HAK2,UniProtKB:O08792,UniProtKB:D3ZT68&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9HAK2,UniProtKB:O08792,UniProtKB:D3ZT68&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9HAK2,UniProtKB:O08792,UniProtKB:D3ZT68&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9HAK2,UniProtKB:O08792,UniProtKB:D3ZT68&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	jaspar_mouse	NA	lambert_2018	NA	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF3	COE3 DKFZp667B0210	Transcription factor COE3 	9606|10090|10116|10090|10116	253738|13593|361668|13591|116543	Q9H4W6|O08791|D4A274|Q07802|Q63398	ENSG00000108001|ENSMUSG00000010476|ENSRNOG00000016102|ENSMUSG00000057098|ENSRNOG00000028845	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H4W6,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H4W6,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H4W6,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H4W6,UniProtKB:O08791,UniProtKB:D4A274,UniProtKB:Q07802,UniProtKB:Q63398&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF4	KIAA1442 COE4 RP5-860F19.3 O/E-4	Transcription factor COE4 	9606|10090|10116	57593|228598|680751	Q9BQW3|Q8K4J2|D3ZW79	ENSG00000088881|ENSMUSG00000053552|ENSRNOG00000007408	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BQW3,UniProtKB:Q8K4J2,UniProtKB:D3ZW79&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BQW3,UniProtKB:Q8K4J2,UniProtKB:D3ZW79&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BQW3,UniProtKB:Q8K4J2,UniProtKB:D3ZW79&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9BQW3,UniProtKB:Q8K4J2,UniProtKB:D3ZW79&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EGR1	TIS8 G0S30 NGFI-A KROX-24 ZIF-268 AT225 225	Early growth response protein 1 	9606|10090|10116	1958|13653|24330	P18146|P08046|P08154	ENSG00000120738|ENSMUSG00000038418|ENSRNOG00000019422	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P18146,UniProtKB:P08046,UniProtKB:P08154&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P18146,UniProtKB:P08046,UniProtKB:P08154&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P18146,UniProtKB:P08046,UniProtKB:P08154&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P18146,UniProtKB:P08046,UniProtKB:P08154&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	DBD	Lovering_2021	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
