#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
FOXN3	-	Forkhead box protein N3 	9606|10090|10116	1112|71375|314374	O00409|Q499D0|D3ZIJ7	ENSG00000053254|ENSMUSG00000033713|ENSRNOG00000004709	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXN4	-	Forkhead box protein N4	9606|10090|10116	121643|116810|288736	Q96NZ1|Q8K3Q3|F1M4N5	ENSG00000139445|ENSMUSG00000042002|ENSRNOG00000000691	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXO1	FKH1	Forkhead box protein O1 	9606|10090|10116	2308|56458|84482	Q12778|Q9R1E0|G3V7R4	ENSG00000150907|ENSMUSG00000044167|ENSRNOG00000013397	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXO3	AF6q21 FOXO2	Forkhead box protein O3 	9606|10090|10116	2309|56484|294515	O43524|Q9WVH4|D3ZBQ1	ENSG00000118689|ENSMUSG00000048756|ENSRNOG00000000299	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXO4	AFX1	Forkhead box protein O4 	9606|10090|10116	4303|54601|302415	P98177|Q9WVH3|D4A433	ENSG00000184481|ENSMUSG00000042903|ENSRNOG00000033316	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXO6	-	Forkhead box protein O6	9606|10090|10116	100132074|329934|313558	A8MYZ6|Q70KY4|D3ZV21	ENSG00000204060|ENSMUSG00000052135|ENSRNOG00000032639	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXP1	QRF1 12CC4 HSPC215 hFKH1B	Forkhead box protein P1 	9606|10090|10116	27086|108655|297480	Q9H334|P58462|Q498D1	ENSG00000114861|ENSMUSG00000030067|ENSRNOG00000009184	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXP2	CAGH44	Forkhead box protein P2 	9606|10090|10116	93986|114142|500037	O15409|P58463|P0CF24	ENSG00000128573|ENSMUSG00000029563|ENSRNOG00000054508	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXP3	JM2 XPID AIID PIDX DIETER SCURFIN	Forkhead box protein P3 	9606|10090|10116	50943|20371|317382	Q9BZS1|Q99JB6|D3ZKI1	ENSG00000049768|ENSMUSG00000039521|ENSRNOG00000011702	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXP4	FLJ40908	Forkhead box protein P4 	9606|10090|10116	116113|74123|363185	Q8IVH2|Q9DBY0|D3ZPZ7	ENSG00000137166|ENSMUSG00000023991|ENSRNOG00000022804	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXQ1	HFH1	Forkhead box protein Q1 	9606|10090|10116	94234|15220|64826	Q9C009|O70220|Q63244	ENSG00000164379|ENSMUSG00000038415|ENSRNOG00000021752	TFclass_human.present	TFclass_mouse.present	NA	3.3.1	Fork head / winged helix factors
FOXR1	DLNB13 FOXN5	Forkhead box protein R1 	9606|10090|10116|10090|10116	283150|436240|302583|382074|315601	Q6PIV2|Q3UM89|D4ADV2|Q3UTB7|F1LTW6	ENSG00000176302|ENSMUSG00000071665|ENSRNOG00000030619|ENSMUSG00000074397|ENSRNOG00000029089	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXR2	MGC21658 FOXN6	Forkhead box protein R2 	9606|10090|10116|10090|10116	139628|436240|302583|382074|315601	Q6PJQ5|Q3UM89|D4ADV2|Q3UTB7|F1LTW6	ENSG00000189299|ENSMUSG00000071665|ENSRNOG00000030619|ENSMUSG00000074397|ENSRNOG00000029089	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
FOXS1	FREAC10	Forkhead box protein S1 	9606|10090|10116	2307|14239|311547	O43638|Q61574|Q5HZE9	ENSG00000179772|ENSMUSG00000074676|ENSRNOG00000008529	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.1	Fork head / winged helix factors
GABPA	E4TF1A NFT2 NRF2 E4TF1-60 NRF2A	GA-binding protein alpha chain 	9606|10090|10116	2551|14390|363735	Q06546|Q00422|D4ACQ9	ENSG00000154727|ENSMUSG00000008976|ENSRNOG00000053205	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
GATA1	ERYF1 NFE1 GATA-1 NF-E1	Erythroid transcription factor 	9606|10090|10116	2623|14460|25172	P15976|P17679|P43429	ENSG00000102145|ENSMUSG00000031162|ENSRNOG00000025534	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATA2	NFE1B	Endothelial transcription factor GATA-2 	9606|10090|10116|10090|10116	2624|14461|25159|14462|85471	P23769|O09100|Q924Y4|P23772|Q99NH5	ENSG00000179348|ENSMUSG00000015053|ENSRNOG00000012347|ENSMUSG00000015619|ENSRNOG00000019336	NA	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATA3	HDR	Trans-acting T-cell-specific transcription factor GATA-3 	9606|10090|10116|10090|10116	2625|14461|25159|14462|85471	P23771|O09100|Q924Y4|P23772|Q99NH5	ENSG00000107485|ENSMUSG00000015053|ENSRNOG00000012347|ENSMUSG00000015619|ENSRNOG00000019336	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATA4	-	Transcription factor GATA-4 	9606|10090|10116	2626|14463|54254	P43694|Q08369|P46152	ENSG00000136574|ENSMUSG00000021944|ENSRNOG00000010708	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATA5	bB379O24.1 GATAS	Transcription factor GATA-5 	9606|10090|10116	140628|14464|499951	Q9BWX5|P97489|Q5U2V0	ENSG00000130700|ENSMUSG00000015627|ENSRNOG00000058983	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATA6	-	Transcription factor GATA-6 	9606|10090|10116	2627|14465|29300	Q92908|Q61169|P46153	ENSG00000141448|ENSMUSG00000005836|ENSRNOG00000023433	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATAD1	ODAG RG083M05.2 FLJ22489	GATA zinc finger domain-containing protein 1 	9606|10090|10116	57798|67210|500005	Q8WUU5|Q920S3|D4A3T2	ENSG00000157259|ENSMUSG00000007415|ENSRNOG00000008613	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATAD2A	p66alpha	Transcriptional repressor p66-alpha 	9606|10090|10116	54815|234366|290669	Q86YP4|Q8CHY6|G3V8R7	ENSG00000167491|ENSMUSG00000036180|ENSRNOG00000022173	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GATAD2B	P66beta	Transcriptional repressor p66-beta 	9606|10090|10116	57459|229542|310614	Q8WXI9|Q8VHR5|Q4V8E1	ENSG00000143614|ENSMUSG00000042390|ENSRNOG00000015553	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
GBX1	-	Homeobox protein GBX-1 	9606|10090|10116	2636|231044|246149	Q14549|P82976|F1M7G6	ENSG00000164900|ENSMUSG00000067724|ENSRNOG00000013369	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
GBX2	-	Homeobox protein GBX-2 	9606|10090|10116	2637|14472|114500	P52951|P48031|G3V8J6	ENSG00000168505|ENSMUSG00000034486|ENSRNOG00000019495	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
GCM1	hGCMa	Chorion-specific transcription factor GCMa 	9606|10090|10116	8521|14531|29394	Q9NP62|P70348|Q9Z288	ENSG00000137270|ENSMUSG00000023333|ENSRNOG00000007932	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.2.1	GCM domain factors
GCM2	hGCMb	Chorion-specific transcription factor GCMb 	9606|10090|10116	9247|107889|291047	O75603|O09102|D3ZXW4	ENSG00000124827|ENSMUSG00000021362|ENSRNOG00000015008	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	7.2.1	GCM domain factors
GFI1	GFI1A GFI-1	Zinc finger protein Gfi-1 	9606|10090|10116	2672|14581|24388	Q99684|P70338|Q07120	ENSG00000162676|ENSMUSG00000029275|ENSRNOG00000002042	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GFI1B	ZNF163B	Zinc finger protein Gfi-1b 	9606|10090|10116	8328|14582|311832	Q5VTD9|O70237|B0BN50	ENSG00000165702|ENSMUSG00000026815|ENSRNOG00000011353	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLI1	-	Zinc finger protein GLI1 	9606|10090|10116	2735|14632|140589	P08151|P47806|G3V6X8	ENSG00000111087|ENSMUSG00000025407|ENSRNOG00000025120	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLI2	THP2 HPE9 THP1	Zinc finger protein GLI2 	9606	2736	P10070	ENSG00000074047	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLI3	PAP-A PAPA PAPA1 PAPB ACLS PPDIV	Transcriptional activator GLI3 	9606|10090|10116	2737|14634|140588	P10071|Q61602|F1M9H1	ENSG00000106571|ENSMUSG00000021318|ENSRNOG00000014395	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLI4	HKR4 ZNF928	Zinc finger protein GLI4 	9606|10116	2738|500893	P10075|Q4QR79	ENSG00000250571|ENSRNOG00000021765	TFclass_human.present	NA	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLIS1	FLJ36155	Zinc finger protein GLIS1 	9606|10090|10116	148979|230587|298732	Q8NBF1|Q8K1M4|F1LVY3	ENSG00000174332|ENSMUSG00000034762|ENSRNOG00000000138	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLIS2	NPHP7	Zinc finger protein GLIS2 	9606|10090|10116	84662|83396|302946	Q9BZE0|Q8VDL9|D3ZIA9	ENSG00000126603|ENSMUSG00000014303|ENSRNOG00000004766	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GLIS3	MGC33662	Zinc finger protein GLIS3 	9606|10090|10116	169792|226075|	Q8NEA6|Q6XP49|D4A314	ENSG00000107249|ENSMUSG00000052942|ENSRNOG00000014768	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
Glis3	-	Zinc finger protein GLIS3 	10090|10116	226075|	Q6XP49|D4A314	ENSMUSG00000052942|ENSRNOG00000014768	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
Gm14296	-	-	10090	102639598	A2ARL4	ENSMUSG00000074527	NA	TFclass_mouse.present	NA	NA	NA
Gm14322	-	-	10090	626802	L7N246	ENSMUSG00000078864	NA	TFclass_mouse.present	NA	NA	NA
Gm15446	-	-	10090	100642166	D3Z5Y8	ENSMUSG00000090015	NA	TFclass_mouse.present	NA	NA	NA
Gm20939	-	-	10090	100044193	Q6NS70	ENSMUSG00000095193	NA	TFclass_mouse.present	NA	NA	NA
Gm3055	-	-	10090	100040944	A0A1W2P707	ENSMUSG00000094622	NA	TFclass_mouse.present	NA	NA	NA
Gm5141	-	-	10090	380850	A0A0J9YUW3	ENSMUSG00000091183	NA	TFclass_mouse.present	NA	NA	NA
GMEB1	P96PIF PIF96	Glucocorticoid modulatory element-binding protein 1 	9606|10090|10116	10691|56809|500558	Q9Y692|Q9JL60|Q9QUZ8	ENSG00000162419|ENSMUSG00000028901|ENSRNOG00000010910	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.3	SAND domain factors
GMEB2	P79PIF KIAA1269 PIF79	Glucocorticoid modulatory element-binding protein 2 	9606|10090|10116	26205|229004|83635	Q9UKD1|P58929|O88873	ENSG00000101216|ENSMUSG00000038705|ENSRNOG00000013339	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.3	SAND domain factors
GRHL1	LBP-32 MGR	Grainyhead-like protein 1 homolog 	9606|10090|10116|10090|10116	29841|252973|299979|195733|313993	Q9NZI5|Q8K5C0|B5DEI9|Q921D9|A0A0G2JTY1	ENSG00000134317|ENSMUSG00000022286|ENSRNOG00000007000|ENSMUSG00000020656|ENSRNOG00000054989	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.7.1	Grainyhead domain factors
GRHL2	FLJ13782 BOM	Grainyhead-like protein 2 homolog 	9606|10090|10116|10090|10116	79977|252973|299979|195733|313993	Q6ISB3|Q8K5C0|B5DEI9|Q921D9|A0A0G2JTY1	ENSG00000083307|ENSMUSG00000022286|ENSRNOG00000007000|ENSMUSG00000020656|ENSRNOG00000054989	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.7.1	Grainyhead domain factors
GRHL3	SOM	Grainyhead-like protein 3 homolog 	9606|10090|10116	57822|230824|298555	Q8TE85|Q5FWH3|D4A1E5	ENSG00000158055|ENSMUSG00000037188|ENSRNOG00000029427	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.7.1	Grainyhead domain factors
GSC	-	Homeobox protein goosecoid	9606|10090|10116	145258|14836|317715	P56915|Q02591|G3V7E7	ENSG00000133937|ENSMUSG00000021095|ENSRNOG00000010605	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
GSC2	-	Homeobox protein goosecoid-2 	9606|10090|10116	2928|195333|363831	O15499|P56916|D3Z9R9	ENSG00000063515|ENSMUSG00000022738|ENSRNOG00000000282	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
GSX1	Gsh-1	GS homeobox 1 	9606|10090|10116	219409|14842|288457	Q9H4S2|P31315|G3V634	ENSG00000169840|ENSMUSG00000053129|ENSRNOG00000000952	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
GSX2	Gsh2	GS homeobox 2 	9606|10090|10116	170825|14843|364140	Q9BZM3|P31316|B6RGM1	ENSG00000180613|ENSMUSG00000035946|ENSRNOG00000002266	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
GTF3A	TFIIIA AP2	Transcription factor IIIA 	9606|10090|10116	2971|66596|246299	Q92664|Q8VHT7|Q8VHT8	ENSG00000122034|ENSMUSG00000016503|ENSRNOG00000050016	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
GZF1	dJ322G13.2 ZBTB23	GDNF-inducible zinc finger protein 1 	9606|10090|10116	64412|74533|311508	Q9H116|Q4VBD9|D3ZUU2	ENSG00000125812|ENSMUSG00000027439|ENSRNOG00000004735	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
HAND1	eHand Thing1 Hxt bHLHa27	Heart- and neural crest derivatives-expressed protein 1 	9606|10090|10116	9421|15110|59112	O96004|Q64279|P97832	ENSG00000113196|ENSMUSG00000037335|ENSRNOG00000002582	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
HAND2	dHand Thing2 Hed bHLHa26	Heart- and neural crest derivatives-expressed protein 2 	9606|10090|10116	9464|15111|64637	P61296|Q61039|P61295	ENSG00000164107|ENSMUSG00000038193|ENSRNOG00000060448	TFclass_human.present	NA	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
HBP1	-	HMG box-containing protein 1 	9606|10090|10116	26959|73389|27080	O60381|Q8R316|Q62661	ENSG00000105856|ENSMUSG00000002996|ENSRNOG00000008927	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
HDX	FLJ30678	Highly divergent homeobox	9606|10090|10116	139324|245596|	Q7Z353|Q14B70|A0A0G2KAK4	ENSG00000165259|ENSMUSG00000034551|ENSRNOG00000037799	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.10	Homeo domain factors
Hdx	-	Highly divergent homeobox	10090|10116	245596|	Q14B70|A0A0G2KAK4	ENSMUSG00000034551|ENSRNOG00000037799	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
HELT	HESL HCM1228 Mgn bHLHb44 MEGANE	Hairy and enhancer of split-related protein HELT 	9606|10090|10116	391723|234219|498633	A6NFD8|Q7TS99|D4ADJ5	ENSG00000187821|ENSMUSG00000047171|ENSRNOG00000010785	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HES1	FLJ20408 HES-1 bHLHb39	Transcription factor HES-1 	9606|10090|10116	3280|15205|29577	Q14469|P35428|Q04666	ENSG00000114315|ENSMUSG00000022528|ENSRNOG00000001720	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
HES2	bHLHb40	Transcription factor HES-2 	9606|10090|10116	54626|15206|29567	Q9Y543|O54792|P35429	ENSG00000069812|ENSMUSG00000028940|ENSRNOG00000010490	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HES3	bHLHb43	Transcription factor HES-3 	9606|10090|10116	390992|15207|64628	Q5TGS1|Q61657|Q04667	ENSG00000173673|ENSMUSG00000028946|ENSRNOG00000010893	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HES4	bHLHb42	Transcription factor HES-4 	9606	57801	Q9HCC6	ENSG00000188290	TFclass_human.present	NA	NA	1.2.4	Basic helix-loop-helix factors (bHLH)
HES5	bHLHb38	Transcription factor HES-5 	9606|10090|10116	388585|15208|79225	Q5TA89|P70120|Q03062	ENSG00000197921|ENSMUSG00000048001|ENSRNOG00000013850	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HES6	bHLHb41	Transcription cofactor HES-6 	9606|10090|10116	55502|55927|316626	Q96HZ4|Q9JHE6|Q5PPN0	ENSG00000144485|ENSMUSG00000067071|ENSRNOG00000020194	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HES7	bHLHb37	Transcription factor HES-7 	9606|10090|10116	84667|84653|287423	Q9BYE0|Q8BKT2|D3ZV20	ENSG00000179111|ENSMUSG00000023781|ENSRNOG00000007391	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HESX1	RPX ANF	Homeobox expressed in ES cells 1 	9606|10090|10116	8820|15209|498575	Q9UBX0|Q61658|D4AEG9	ENSG00000163666|ENSMUSG00000040726|ENSRNOG00000014133	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
HEY1	HESR-1 CHF2 HESR1 HRT-1 CHF-2 HERP2 bHLHb31	Hairy/enhancer-of-split related with YRPW motif protein 1 	9606|10090|10116	23462|15213|155437	Q9Y5J3|Q9WV93|D3ZNI5	ENSG00000164683|ENSMUSG00000040289|ENSRNOG00000011593	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HEY2	bHLHb32 HERP1 HESR2	Hairy/enhancer-of-split related with YRPW motif protein 2 	9606|10090|10116	23493|15214|155430	Q9UBP5|Q9QUS4|G3V7S6	ENSG00000135547|ENSMUSG00000019789|ENSRNOG00000013364	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HEYL	bHLHb33 HEY3 HESR3	Hairy/enhancer-of-split related with YRPW motif-like protein 	9606|10090|10116	26508|56198|313575	Q9NQ87|Q9DBX7|D3ZIH3	ENSG00000163909|ENSMUSG00000032744|ENSRNOG00000015318	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
HHEX	HEX HOX11L-PEN	Hematopoietically-expressed homeobox protein HHEX 	9606|10090|10116	3087|15242|79237	Q03014|P43120|Q9WV22	ENSG00000152804|ENSMUSG00000024986|ENSRNOG00000016595	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
HIC1	ZBTB29 ZNF901	Hypermethylated in cancer 1 protein 	9606|10090|10116|10116	3090|15248|303310|100912068	Q14526|Q9R1Y5|D4A974|A0A0G2K7D6	ENSG00000177374|ENSMUSG00000043099|ENSRNOG00000046405|ENSRNOG00000057619	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HIC2	KIAA1020 HRG22 ZBTB30 ZNF907	Hypermethylated in cancer 2 protein 	9606|10090|10116	23119|58180|287940	Q96JB3|Q9JLZ6|D4A9X7	ENSG00000169635|ENSMUSG00000050240|ENSRNOG00000051458	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HIF1A	MOP1 HIF-1alpha PASD8 HIF1 bHLHe78	Hypoxia-inducible factor 1-alpha 	9606|10090|10116	3091|15251|29560	Q16665|Q61221|O35800	ENSG00000100644|ENSMUSG00000021109|ENSRNOG00000008292	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
HIF3A	IPAS MOP7 PASD7 bHLHe17	Hypoxia-inducible factor 3-alpha 	9606|10090|10116	64344|53417|64345	Q9Y2N7|Q0VBL6|Q9JHS2	ENSG00000124440|ENSMUSG00000004328|ENSRNOG00000017198	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
HINFP	DKFZP434F162 HiNF-P ZNF743	Histone H4 transcription factor 	9606|10090|10116	25988|102423|300665	Q9BQA5|Q8K1K9|D3ZAT1	ENSG00000172273|ENSMUSG00000032119|ENSRNOG00000009499	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HIVEP1	CIRIP MBP-1 CRYBP1 PRDII-BF1 ZAS1 Schnurri-1 ZNF40A	Zinc finger protein 40 	9606|10090|10116	3096|110521|117140	P15822|Q03172|F1M9H4	ENSG00000095951|ENSMUSG00000021366|ENSRNOG00000014460	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HIVEP2	MBP-2 HIV-EP2 MIBP1 ZAS2 Schnurri-2 ZNF40B	Transcription factor HIVEP2 	9606|10090|10116	3097|15273|29721	P31629|Q3UHF7|Q00900	ENSG00000010818|ENSMUSG00000015501|ENSRNOG00000011015	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HIVEP3	KRC KBP1 KBP-1 SHN3 FLJ16752 KIAA1555 ZAS3 Schnurri-3 ZNF40C	Transcription factor HIVEP3 	9606|10090|10116	59269|16656|313557	Q5T1R4|A2A884|D3ZRB5	ENSG00000127124|ENSMUSG00000028634|ENSRNOG00000009341	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
HLF	MGC33822	Hepatic leukemia factor	9606|10090|10116	3131|217082|690286	Q16534|Q8BW74|Q64709	ENSG00000108924|ENSMUSG00000003949|ENSRNOG00000002456	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
HLX	HB24	H2.0-like homeobox protein 	9606|10090|10116	3142|15284|364069	Q14774|Q61670|A0JPN1	ENSG00000136630|ENSMUSG00000039377|ENSRNOG00000002309	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
HMBOX1	HNF1LA PBHNF FLJ21616 HOT1	Homeobox-containing protein 1 	9606|10090|10116	79618|219150|305968	Q6NT76|Q8BJA3|D3ZER1	ENSG00000147421|ENSMUSG00000021972|ENSRNOG00000013326	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.10	Homeo domain factors
HMG20A	HMGX1 FLJ10739 HMGXB1	High mobility group protein 20A 	9606|10090|10116	10363|66867|315689	Q9NP66|Q9DC33|D3Z937	ENSG00000140382|ENSMUSG00000032329|ENSRNOG00000016905	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.2	High-mobility group (HMG) domain factors
HMG20B	SOXL HMGX2 BRAF35 SMARCE1r BRAF25 HMGXB2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related 	9606|10090|10116	10362|15353|362825	Q9P0W2|Q9Z104|D4A586	ENSG00000064961|ENSMUSG00000020232|ENSRNOG00000020601	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.2	High-mobility group (HMG) domain factors
HMGA1	-	High mobility group protein HMG-I/HMG-Y 	9606|10090|10116	3159|15361|117062	P17096|P17095|Q8K585	ENSG00000137309|ENSMUSG00000046711|ENSRNOG00000000488	TFclass_human.present	NA	TFclass_rat.present	8.2.1	A.T hook factors
HMGA2	BABL LIPO	High mobility group protein HMGI-C 	9606|10090|10116	8091|15364|84017	P52926|P52927|O88791	ENSG00000149948|ENSMUSG00000056758|ENSRNOG00000042460	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	8.2.1	A.T hook factors
HMGXB3	SMF KIAA0194	HMG domain-containing protein 3 	9606|10090|10116	22993|106894|361335	Q12766|G3X9M3|F1MAL8	ENSG00000113716|ENSMUSG00000024622|ENSRNOG00000018132	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.2	High-mobility group (HMG) domain factors
Hmgxb3	-	-	10090|10116	106894|361335	G3X9M3|F1MAL8	ENSMUSG00000024622|ENSRNOG00000018132	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
HMGXB4	THC211630 P53N	HMG domain-containing protein 4 	9606|10090|10116	10042|70823|307667	Q9UGU5|Q80Y32|D4A2N0	ENSG00000100281|ENSMUSG00000034518|ENSRNOG00000013878	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.4	High-mobility group (HMG) domain factors
HMX1	H6 NKX5-3	Homeobox protein HMX1 	9606|10090|10116	3166|15371|360960	Q9NP08|O70218|D3ZBP8	ENSG00000215612|ENSMUSG00000067438|ENSRNOG00000009154	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
HMX2	NKX5-2	Homeobox protein HMX2 	9606|10090|10116	3167|15372|293538	A2RU54|P43687|D4A578	ENSG00000188816|ENSMUSG00000050100|ENSRNOG00000020638	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
HMX3	NKX5-1	Homeobox protein HMX3 	9606|10090|10116	340784|15373|293537	A6NHT5|P42581|D4A585	ENSG00000188620|ENSMUSG00000040148|ENSRNOG00000020637	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
